epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6154.39,1.36451,1.14472,1.31973,0.74109,0.66236,0.73414,0.42212,1.31062,1.1883,1.20878,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,6339.45,1.3573,1.12517,1.31219,0.75825,0.66645,0.74357,0.42775,1.31172,1.2794,1.20513,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,6525.58,1.34969,1.10586,1.30845,0.74575,0.67598,0.7414,0.42714,1.30867,1.1465,1.20571,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,6711.58,1.3441,1.08909,1.30658,0.7581,0.67925,0.74467,0.42914,1.3145,1.13422,1.20633,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,6897.79,1.32548,1.06569,1.2958,0.7577,0.67208,0.743,0.43048,1.3126,1.1247,1.20354,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,7084.52,1.32182,1.06058,1.29392,0.77048,0.66836,0.74717,0.43287,1.30671,1.12351,1.19738,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,7270.48,1.31877,1.05639,1.2864,0.76778,0.67814,0.7516,0.43485,1.29686,1.09521,1.19192,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,7456.4,1.30686,1.04173,1.27761,0.76631,0.68483,0.75044,0.43488,1.30557,1.06657,1.20135,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,7642.47,1.30366,1.02936,1.27338,0.76689,0.6797,0.75258,0.43634,1.30349,1.07708,1.19989,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,7828.42,1.33861,0.99349,1.30043,0.76107,0.67848,0.75182,0.43635,1.30589,1.08543,1.20134,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,8013.65,1.31464,0.95436,1.28954,0.77086,0.68243,0.75366,0.43653,1.29952,1.05524,1.19755,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,8197.07,1.30492,0.93967,1.28882,0.7831,0.67545,0.75471,0.439,1.29721,1.02747,1.19833,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,8380.6,1.29371,0.93243,1.27496,0.77222,0.68664,0.75524,0.43877,1.29603,1.022,1.19834,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,8564.18,1.276,0.90473,1.26895,0.77825,0.682,0.75489,0.4404,1.29682,1.02219,1.1977,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,8747.87,1.26091,0.88436,1.25209,0.7732,0.6876,0.75522,0.44166,1.29721,1.0029,1.19576,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,8931.94,1.25291,0.87654,1.24995,0.77489,0.69167,0.75828,0.44101,1.29515,1.00019,1.19546,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,9115.73,1.24453,0.86013,1.24462,0.76937,0.69159,0.7549,0.44132,1.29819,1.0097,1.20036,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,9299.84,1.23176,0.83944,1.2325,0.7707,0.69008,0.75438,0.44265,1.29927,1.01261,1.20279,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,9483.5,1.2172,0.8279,1.22711,0.77668,0.69146,0.75561,0.4412,1.30176,1.01836,1.20471,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
